Date,Plant,Images,Registered images,Points,Observations,Mean track length,Mean observations per image,Mean reprojection error
2024-07-30,A-1,352,352,105019,1310966,12.483132,3724.335227,0.558773
2024-07-30,A-2,347,347,78089,1150782,14.7368,3316.37464,0.621446
2024-07-30,A-3,2,2,77,154,2.0,77.0,0.325023
2024-07-30,A-3-2,2,2,77,154,2.0,77.0,0.325023
2024-07-30,A-4,373,373,63843,743605,11.647401,1993.579088,0.651926
2024-07-30,A-5,5,5,114,474,4.157895,94.8,0.589126
2024-07-30,A-5-2,5,5,114,474,4.157895,94.8,0.589123
2024-07-30,B-1,392,392,38028,328733,8.644499,838.604592,0.803985
2024-07-30,B-2,348,348,33776,327917,9.70858,942.29023,0.822195
2024-07-30,B-3,221,221,21273,156601,7.361491,708.60181,0.741938
2024-07-30,B-4,320,320,42588,413108,9.700103,1290.9625,0.74399
2024-07-30,B-5,314,314,40119,380564,9.48588,1211.987261,0.803563
2024-07-30,C-1,351,351,32571,348163,10.689356,991.917379,0.872307
2024-07-30,C-2,306,306,35479,400749,11.295386,1309.637255,0.808644
2024-07-30,C-3,309,309,51765,560612,10.829943,1814.278317,0.700711
2024-07-30,C-4,582,582,133984,2343924,17.494059,4027.360825,0.596883
2024-07-30,C-5,381,381,98729,1057171,10.707806,2774.727034,0.70445
2024-08-01,A-1,391,391,164640,2164846,13.148967,5536.690537,0.611211
2024-08-01,A-2,405,405,190050,2811313,14.792491,6941.51358,0.571832
2024-08-01,A-3,305,305,108704,999870,9.198098,3278.262295,0.59891
2024-08-01,A-4,395,395,170724,2116970,12.399955,5359.417722,0.550741
2024-08-01,A-5,308,308,97296,989598,10.171004,3212.980519,0.57371
2024-08-01,B-1,427,427,125471,1467967,11.699652,3437.861827,0.56964
2024-08-01,B-2,301,301,93825,947264,10.096072,3147.056478,0.574836
2024-08-01,B-3,576,576,119654,2579754,21.560115,4478.739583,0.545381
2024-08-01,B-4,2,2,261,522,2.0,261.0,0.181314
2024-08-01,B-4-2,2,2,259,518,2.0,259.0,0.181263
2024-08-01,B-5,392,392,136852,1680044,12.276357,4285.826531,0.559925
2024-08-01,C-1,314,314,106816,1130813,10.586551,3601.315287,0.5805
2024-08-01,C-2,2,2,513,1026,2.0,513.0,0.211775
2024-08-01,C-2-2,312,312,103447,1100517,10.638462,3527.298077,0.581476
2024-08-01,C-3,416,416,173857,1773020,10.198151,4262.067308,0.569849
2024-08-01,C-4,2,2,114,228,2.0,114.0,0.429399
2024-08-01,C-4-2,2,2,114,228,2.0,114.0,0.429399
2024-08-01,C-5,434,434,221705,2637997,11.898681,6078.334101,0.55359
2024-08-02,A-1,397,397,145105,3274400,22.565728,8247.858942,0.607718
2024-08-02,A-2,316,316,151192,2706574,17.901569,8565.107595,0.567955
2024-08-02,A-3,593,593,143423,4292572,29.929453,7238.738617,0.590883
2024-08-02,A-4,316,316,167610,2696739,16.089368,8533.984177,0.556592
2024-08-02,A-5,409,409,183963,2506983,13.627648,6129.542787,0.556738
2024-08-02,B-1,327,327,162576,2711640,16.679215,8292.477064,0.559352
2024-08-02,B-2,300,300,153222,2514600,16.411481,8382.0,0.561329
2024-08-02,B-3,310,310,140625,2239673,15.926564,7224.751613,0.575391
2024-08-02,B-4,366,366,187459,3304113,17.62579,9027.631148,0.515732
2024-08-02,B-5,410,410,216253,3349993,15.491082,8170.714634,0.545236
2024-08-02,C-1,324,324,159896,2665746,16.671749,8227.611111,0.607052
2024-08-02,C-2,315,315,148830,2512059,16.878714,7974.790476,0.582828
2024-08-02,C-3,310,310,122925,2143088,17.43411,6913.187097,0.570861
2024-08-02,C-4,396,396,186846,3303108,17.678238,8341.181818,0.564554
2024-08-02,C-5,2,2,1600,3200,2.0,1600.0,0.203727
2024-08-02,C-5-2,2,2,1601,3202,2.0,1601.0,0.205753
2024-08-03,A-1,313,313,164964,2563107,15.537372,8188.840256,0.534848
2024-08-03,A-2,448,448,199251,3395762,17.042635,7579.825893,0.550299
2024-08-03,A-3,378,378,168852,2440870,14.455677,6457.328042,0.573574
2024-08-03,A-4,364,364,190760,2970839,15.5737,8161.645604,0.543833
2024-08-03,A-5,411,411,198742,3059804,15.39586,7444.778589,0.552618
2024-08-03,B-1,356,356,166178,2875709,17.304992,8077.83427,0.509169
2024-08-03,B-2,393,393,199210,3175406,15.939993,8079.913486,0.554177
2024-08-03,B-3,331,331,179611,2559700,14.251354,7733.232628,0.553471
2024-08-03,B-4,325,325,184029,2196691,11.936657,6759.049231,0.524061
2024-08-03,B-5,6,6,4526,14574,3.220062,2429.0,0.325934
2024-08-03,C-1,453,453,229874,3442558,14.975848,7599.465784,0.522787
2024-08-03,C-2,561,561,175750,3687599,20.982071,6573.26025,0.544884
2024-08-03,C-3,387,387,189106,2532997,13.394588,6545.211886,0.568908
2024-08-03,C-4,3,3,1171,3341,2.853117,1113.666667,0.301842
2024-08-03,C-4-2,3,3,1172,3344,2.853242,1114.666667,0.301972
2024-08-03,C-5,434,434,195508,3141318,16.067465,7238.059908,0.551202
2024-08-04,A-1,531,531,213284,4252153,19.936578,8007.821092,0.525816
2024-08-04,A-2,2,2,1373,2746,2.0,1373.0,0.235221
2024-08-04,A-3,372,372,209411,2808673,13.412252,7550.196237,0.542997
2024-08-04,A-4,336,336,178101,2221329,12.472299,6611.098214,0.540343
2024-08-04,A-5,381,381,194408,2434494,12.522602,6389.748031,0.535931
2024-08-04,B-1,305,305,160175,1999868,12.485519,6556.944262,0.527129
2024-08-04,B-2,348,348,195866,2589203,13.219257,7440.238506,0.52682
2024-08-04,B-3,2,2,102,204,2.0,102.0,0.302086
2024-08-04,B-4,332,332,188229,2049986,10.890915,6174.656627,0.500558
2024-08-04,B-5,384,384,181787,2717973,14.951416,7078.054688,0.592704
2024-08-04,C-1,587,587,168997,3620219,21.421794,6167.32368,0.543334
2024-08-04,C-2,301,301,116617,1599441,13.715333,5313.757475,0.553441
2024-08-04,C-3,398,398,156265,2147689,13.74389,5396.203518,0.635799
2024-08-04,C-4,444,444,214848,3424031,15.936993,7711.781532,0.532384
